-10.00597260168349 + 0.0im	4.034267974861423e-6 + 0.0im
-9.990264638415542 + 0.0im	4.045733175835325e-6 + 0.0im
-9.974556675147593 + 0.0im	4.05724748355903e-6 + 0.0im
-9.958848711879645 + 0.0im	4.068811179799461e-6 + 0.0im
-9.943140748611695 + 0.0im	4.080424548354026e-6 + 0.0im
-9.927432785343747 + 0.0im	4.092087875068212e-6 + 0.0im
-9.911724822075797 + 0.0im	4.103801447853448e-6 + 0.0im
-9.896016858807847 + 0.0im	4.115565556705087e-6 + 0.0im
-9.8803088955399 + 0.0im	4.127380493720571e-6 + 0.0im
-9.86460093227195 + 0.0im	4.139246553117869e-6 + 0.0im
-9.848892969004002 + 0.0im	4.151164031253952e-6 + 0.0im
-9.833185005736052 + 0.0im	4.163133226643611e-6 + 0.0im
-9.817477042468104 + 0.0im	4.175154439978393e-6 + 0.0im
-9.801769079200154 + 0.0im	4.1872279741456706e-6 + 0.0im
-9.786061115932206 + 0.0im	4.19935413424808e-6 + 0.0im
-9.770353152664256 + 0.0im	4.211533227622969e-6 + 0.0im
-9.754645189396308 + 0.0im	4.223765563862209e-6 + 0.0im
-9.738937226128359 + 0.0im	4.23605145483205e-6 + 0.0im
-9.723229262860409 + 0.0im	4.248391214693357e-6 + 0.0im
-9.707521299592461 + 0.0im	4.260785159921917e-6 + 0.0im
-9.691813336324511 + 0.0im	4.273233609329018e-6 + 0.0im
-9.676105373056563 + 0.0im	4.285736884082218e-6 + 0.0im
-9.660397409788613 + 0.0im	4.298295307726392e-6 + 0.0im
-9.644689446520665 + 0.0im	4.310909206204888e-6 + 0.0im
-9.628981483252716 + 0.0im	4.3235789078810365e-6 + 0.0im
-9.613273519984768 + 0.0im	4.336304743559737e-6 + 0.0im
-9.597565556716818 + 0.0im	4.349087046509462e-6 + 0.0im
-9.58185759344887 + 0.0im	4.3619261524842425e-6 + 0.0im
-9.56614963018092 + 0.0im	4.3748223997461594e-6 + 0.0im
-9.55044166691297 + 0.0im	4.387776129087825e-6 + 0.0im
-9.534733703645022 + 0.0im	4.400787683855326e-6 + 0.0im
-9.519025740377073 + 0.0im	4.4138574099711675e-6 + 0.0im
-9.503317777109125 + 0.0im	4.42698565595771e-6 + 0.0im
-9.487609813841175 + 0.0im	4.440172772960671e-6 + 0.0im
-9.471901850573227 + 0.0im	4.453419114772936e-6 + 0.0im
-9.456193887305277 + 0.0im	4.466725037858667e-6 + 0.0im
-9.44048592403733 + 0.0im	4.480090901377577e-6 + 0.0im
-9.42477796076938 + 0.0im	4.4935170672095835e-6 + 0.0im
-9.40906999750143 + 0.0im	4.507003899979575e-6 + 0.0im
-9.393362034233482 + 0.0im	4.520551767082585e-6 + 0.0im
-9.377654070965532 + 0.0im	4.534161038709166e-6 + 0.0im
-9.361946107697584 + 0.0im	4.547832087871014e-6 + 0.0im
-9.346238144429634 + 0.0im	4.561565290426944e-6 + 0.0im
-9.330530181161686 + 0.0im	4.575361025109081e-6 + 0.0im
-9.314822217893736 + 0.0im	4.589219673549341e-6 + 0.0im
-9.299114254625788 + 0.0im	4.6031416203062336e-6 + 0.0im
-9.283406291357839 + 0.0im	4.617127252891943e-6 + 0.0im
-9.267698328089889 + 0.0im	4.6311769617996546e-6 + 0.0im
-9.25199036482194 + 0.0im	4.645291140531266e-6 + 0.0im
-9.236282401553991 + 0.0im	4.65947018562529e-6 + 0.0im
-9.220574438286043 + 0.0im	4.673714496685213e-6 + 0.0im
-9.204866475018093 + 0.0im	4.688024476407956e-6 + 0.0im
-9.189158511750145 + 0.0im	4.702400530612864e-6 + 0.0im
-9.173450548482196 + 0.0im	4.716843068270861e-6 + 0.0im
-9.157742585214248 + 0.0im	4.731352501534002e-6 + 0.0im
-9.142034621946298 + 0.0im	4.7459292457652975e-6 + 0.0im
-9.12632665867835 + 0.0im	4.760573719568907e-6 + 0.0im
-9.1106186954104 + 0.0im	4.775286344820663e-6 + 0.0im
-9.09491073214245 + 0.0im	4.790067546698879e-6 + 0.0im
-9.079202768874502 + 0.0im	4.804917753715602e-6 + 0.0im
-9.063494805606553 + 0.0im	4.8198373977481e-6 + 0.0im
-9.047786842338605 + 0.0im	4.834826914070747e-6 + 0.0im
-9.032078879070655 + 0.0im	4.84988674138729e-6 + 0.0im
-9.016370915802707 + 0.0im	4.865017321863425e-6 + 0.0im
-9.000662952534757 + 0.0im	4.880219101159795e-6 + 0.0im
-8.984954989266809 + 0.0im	4.895492528465255e-6 + 0.0im
-8.96924702599886 + 0.0im	4.91083805653065e-6 + 0.0im
-8.953539062730911 + 0.0im	4.926256141702831e-6 + 0.0im
-8.937831099462962 + 0.0im	4.9417472439591666e-6 + 0.0im
-8.922123136195012 + 0.0im	4.957311826942358e-6 + 0.0im
-8.906415172927064 + 0.0im	4.972950357995714e-6 + 0.0im
-8.890707209659114 + 0.0im	4.988663308198761e-6 + 0.0im
-8.874999246391166 + 0.0im	5.004451152403313e-6 + 0.0im
-8.859291283123216 + 0.0im	5.020314369269897e-6 + 0.0im
-8.843583319855268 + 0.0im	5.036253441304655e-6 + 0.0im
-8.827875356587318 + 0.0im	5.052268854896586e-6 + 0.0im
-8.81216739331937 + 0.0im	5.068361100355258e-6 + 0.0im
-8.79645943005142 + 0.0im	5.084530671948989e-6 + 0.0im
-8.780751466783471 + 0.0im	5.100778067943359e-6 + 0.0im
-8.765043503515523 + 0.0im	5.1171037906402714e-6 + 0.0im
-8.749335540247573 + 0.0im	5.133508346417384e-6 + 0.0im
-8.733627576979625 + 0.0im	5.149992245768018e-6 + 0.0im
-8.717919613711675 + 0.0im	5.166556003341566e-6 + 0.0im
-8.702211650443727 + 0.0im	5.183200137984269e-6 + 0.0im
-8.686503687175778 + 0.0im	5.199925172780579e-6 + 0.0im
-8.67079572390783 + 0.0im	5.21673163509492e-6 + 0.0im
-8.65508776063988 + 0.0im	5.23362005661393e-6 + 0.0im
-8.63937979737193 + 0.0im	5.2505909733892594e-6 + 0.0im
-8.623671834103982 + 0.0im	5.267644925880798e-6 + 0.0im
-8.607963870836032 + 0.0im	5.2847824590004165e-6 + 0.0im
-8.592255907568084 + 0.0im	5.302004122156298e-6 + 0.0im
-8.576547944300135 + 0.0im	5.319310469297609e-6 + 0.0im
-8.560839981032187 + 0.0im	5.336702058959928e-6 + 0.0im
-8.545132017764237 + 0.0im	5.3541794543109735e-6 + 0.0im
-8.529424054496289 + 0.0im	5.371743223197075e-6 + 0.0im
-8.51371609122834 + 0.0im	5.389393938189976e-6 + 0.0im
-8.498008127960391 + 0.0im	5.407132176634408e-6 + 0.0im
-8.482300164692441 + 0.0im	5.424958520696076e-6 + 0.0im
-8.466592201424492 + 0.0im	5.442873557410231e-6 + 0.0im
-8.450884238156544 + 0.0im	5.460877878730903e-6 + 0.0im
-8.435176274888594 + 0.0im	5.478972081580595e-6 + 0.0im
-8.419468311620646 + 0.0im	5.4971567679006654e-6 + 0.0im
-8.403760348352696 + 0.0im	5.515432544702251e-6 + 0.0im
-8.388052385084748 + 0.0im	5.5338000241178125e-6 + 0.0im
-8.372344421816798 + 0.0im	5.552259823453351e-6 + 0.0im
-8.35663645854885 + 0.0im	5.570812565241112e-6 + 0.0im
-8.3409284952809 + 0.0im	5.589458877293097e-6 + 0.0im
-8.325220532012953 + 0.0im	5.608199392755033e-6 + 0.0im
-8.309512568745003 + 0.0im	5.627034750161192e-6 + 0.0im
-8.293804605477053 + 0.0im	5.6459655934896476e-6 + 0.0im
-8.278096642209105 + 0.0im	5.664992572218395e-6 + 0.0im
-8.262388678941155 + 0.0im	5.684116341382059e-6 + 0.0im
-8.246680715673207 + 0.0im	5.703337561629221e-6 + 0.0im
-8.230972752405258 + 0.0im	5.722656899280655e-6 + 0.0im
-8.21526478913731 + 0.0im	5.742075026387988e-6 + 0.0im
-8.19955682586936 + 0.0im	5.761592620793321e-6 + 0.0im
-8.183848862601412 + 0.0im	5.781210366189395e-6 + 0.0im
-8.168140899333462 + 0.0im	5.800928952180667e-6 + 0.0im
-8.152432936065512 + 0.0im	5.820749074344952e-6 + 0.0im
-8.136724972797564 + 0.0im	5.840671434295944e-6 + 0.0im
-8.121017009529615 + 0.0im	5.8606967397464704e-6 + 0.0im
-8.105309046261667 + 0.0im	5.88082570457251e-6 + 0.0im
-8.089601082993717 + 0.0im	5.90105904887802e-6 + 0.0im
-8.073893119725769 + 0.0im	5.921397499060555e-6 + 0.0im
-8.058185156457819 + 0.0im	5.941841787877691e-6 + 0.0im
-8.042477193189871 + 0.0im	5.962392654514283e-6 + 0.0im
-8.026769229921921 + 0.0im	5.983050844650567e-6 + 0.0im
-8.011061266653972 + 0.0im	6.0038171105310545e-6 + 0.0im
-7.995353303386024 + 0.0im	6.024692211034381e-6 + 0.0im
-7.979645340118075 + 0.0im	6.045676911743959e-6 + 0.0im
-7.963937376850126 + 0.0im	6.0667719850195025e-6 + 0.0im
-7.948229413582177 + 0.0im	6.0879782100695045e-6 + 0.0im
-7.932521450314228 + 0.0im	6.1092963730245745e-6 + 0.0im
-7.916813487046278 + 0.0im	6.130727267011676e-6 + 0.0im
-7.901105523778329 + 0.0im	6.152271692229495e-6 + 0.0im
-7.8853975605103805 + 0.0im	6.173930456024388e-6 + 0.0im
-7.869689597242432 + 0.0im	6.195704372967683e-6 + 0.0im
-7.853981633974483 + 0.0im	6.217594264933725e-6 + 0.0im
-7.838273670706534 + 0.0im	6.239600961178927e-6 + 0.0im
-7.822565707438585 + 0.0im	6.261725298421957e-6 + 0.0im
-7.806857744170636 + 0.0im	6.283968120924843e-6 + 0.0im
-7.791149780902687 + 0.0im	6.306330280575058e-6 + 0.0im
-7.7754418176347375 + 0.0im	6.328812636968816e-6 + 0.0im
-7.759733854366789 + 0.0im	6.351416057495304e-6 + 0.0im
-7.74402589109884 + 0.0im	6.374141417422066e-6 + 0.0im
-7.728317927830891 + 0.0im	6.396989599981448e-6 + 0.0im
-7.712609964562942 + 0.0im	6.419961496458213e-6 + 0.0im
-7.696902001294993 + 0.0im	6.44305800627815e-6 + 0.0im
-7.681194038027044 + 0.0im	6.466280037097997e-6 + 0.0im
-7.665486074759095 + 0.0im	6.489628504896422e-6 + 0.0im
-7.6497781114911465 + 0.0im	6.513104334066312e-6 + 0.0im
-7.634070148223198 + 0.0im	6.536708457507993e-6 + 0.0im
-7.618362184955249 + 0.0im	6.560441816724015e-6 + 0.0im
-7.602654221687299 + 0.0im	6.584305361914949e-6 + 0.0im
-7.58694625841935 + 0.0im	6.608300052076428e-6 + 0.0im
-7.571238295151401 + 0.0im	6.63242685509764e-6 + 0.0im
-7.555530331883452 + 0.0im	6.656686747860922e-6 + 0.0im
-7.5398223686155035 + 0.0im	6.681080716342718e-6 + 0.0im
-7.524114405347555 + 0.0im	6.705609755716047e-6 + 0.0im
-7.508406442079606 + 0.0im	6.7302748704539955e-6 + 0.0im
-7.492698478811657 + 0.0im	6.755077074434857e-6 + 0.0im
-7.476990515543708 + 0.0im	6.780017391048554e-6 + 0.0im
-7.461282552275758 + 0.0im	6.805096853304482e-6 + 0.0im
-7.445574589007809 + 0.0im	6.830316503940811e-6 + 0.0im
-7.4298666257398605 + 0.0im	6.855677395535225e-6 + 0.0im
-7.414158662471912 + 0.0im	6.8811805906171435e-6 + 0.0im
-7.398450699203963 + 0.0im	6.906827161781461e-6 + 0.0im
-7.382742735936014 + 0.0im	6.93261819180384e-6 + 0.0im
-7.367034772668065 + 0.0im	6.9585547737574684e-6 + 0.0im
-7.351326809400116 + 0.0im	6.984638011131468e-6 + 0.0im
