-8.026769229921921 + 0.0im	-0.00024173353844225064 + 0.0im
-8.011061266653972 + 0.0im	-0.00024324927982869463 + 0.0im
-7.995353303386024 + 0.0im	-0.00024477793224647934 + 0.0im
-7.979645340118075 + 0.0im	-0.00024631963580902007 + 0.0im
-7.963937376850126 + 0.0im	-0.00024787453249006537 + 0.0im
-7.948229413582177 + 0.0im	-0.00024944276615307246 + 0.0im
-7.932521450314228 + 0.0im	-0.0002510244825811722 + 0.0im
-7.916813487046278 + 0.0im	-0.00025261982950760723 + 0.0im
-7.901105523778329 + 0.0im	-0.0002542289566468143 + 0.0im
-7.8853975605103805 + 0.0im	-0.0002558520157260255 + 0.0im
-7.869689597242432 + 0.0im	-0.0002574891605174987 + 0.0im
-7.853981633974483 + 0.0im	-0.0002591405468713005 + 0.0im
-7.838273670706534 + 0.0im	-0.00026080633274876716 + 0.0im
-7.822565707438585 + 0.0im	-0.0002624866782565329 + 0.0im
-7.806857744170636 + 0.0im	-0.0002641817456812504 + 0.0im
-7.791149780902687 + 0.0im	-0.000265891699524903 + 0.0im
-7.7754418176347375 + 0.0im	-0.0002676167065408716 + 0.0im
-7.759733854366789 + 0.0im	-0.00026935693577058006 + 0.0im
-7.74402589109884 + 0.0im	-0.00027111255858096317 + 0.0im
-7.728317927830891 + 0.0im	-0.00027288374870251326 + 0.0im
-7.712609964562942 + 0.0im	-0.00027467068226817644 + 0.0im
-7.696902001294993 + 0.0im	-0.00027647353785289965 + 0.0im
-7.681194038027044 + 0.0im	-0.0002782924965140096 + 0.0im
-7.665486074759095 + 0.0im	-0.0002801277418323331 + 0.0im
-7.6497781114911465 + 0.0im	-0.00028197945995412694 + 0.0im
-7.634070148223198 + 0.0im	-0.00028384783963379104 + 0.0im
-7.618362184955249 + 0.0im	-0.00028573307227747647 + 0.0im
-7.602654221687299 + 0.0im	-0.0002876353519874706 + 0.0im
-7.58694625841935 + 0.0im	-0.00028955487560751995 + 0.0im
-7.571238295151401 + 0.0im	-0.0002914918427689708 + 0.0im
-7.555530331883452 + 0.0im	-0.0002934464559379017 + 0.0im
-7.5398223686155035 + 0.0im	-0.00029541892046308985 + 0.0im
-7.524114405347555 + 0.0im	-0.00029740944462502077 + 0.0im
-7.508406442079606 + 0.0im	-0.0002994182396858317 + 0.0im
-7.492698478811657 + 0.0im	-0.0003014455199401839 + 0.0im
-7.476990515543708 + 0.0im	-0.00030349150276730676 + 0.0im
-7.461282552275758 + 0.0im	-0.0003055564086839368 + 0.0im
-7.445574589007809 + 0.0im	-0.00030764046139835315 + 0.0im
-7.4298666257398605 + 0.0im	-0.00030974388786559666 + 0.0im
-7.414158662471912 + 0.0im	-0.00031186691834366706 + 0.0im
-7.398450699203963 + 0.0im	-0.00031400978645097934 + 0.0im
-7.382742735936014 + 0.0im	-0.0003161727292248785 + 0.0im
-7.367034772668065 + 0.0im	-0.0003183559871814685 + 0.0im
-7.351326809400116 + 0.0im	-0.00032055980437656117 + 0.0im
-7.335618846132167 + 0.0im	-0.00032278442846790683 + 0.0im
-7.319910882864218 + 0.0im	-0.0003250301107787619 + 0.0im
-7.304202919596269 + 0.0im	-0.0003272971063626891 + 0.0im
-7.28849495632832 + 0.0im	-0.00032958567406973717 + 0.0im
-7.272786993060371 + 0.0im	-0.0003318960766139787 + 0.0im
-7.257079029792422 + 0.0im	-0.000334228580642553 + 0.0im
-7.241371066524473 + 0.0im	-0.00033658345680594826 + 0.0im
-7.225663103256524 + 0.0im	-0.0003389609798299414 + 0.0im
-7.209955139988575 + 0.0im	-0.0003413614285890428 + 0.0im
-7.194247176720626 + 0.0im	-0.0003437850861813279 + 0.0im
-7.1785392134526775 + 0.0im	-0.00034623224000500944 + 0.0im
-7.162831250184729 + 0.0im	-0.00034870318183666466 + 0.0im
-7.147123286916779 + 0.0im	-0.0003511982079109219 + 0.0im
-7.13141532364883 + 0.0im	-0.00035371761900211056 + 0.0im
-7.115707360380881 + 0.0im	-0.00035626172050742355 + 0.0im
-7.099999397112932 + 0.0im	-0.00035883082253212545 + 0.0im
-7.084291433844983 + 0.0im	-0.0003614252399762848 + 0.0im
-7.0685834705770345 + 0.0im	-0.00036404529262370035 + 0.0im
-7.052875507309086 + 0.0im	-0.000366691305232582 + 0.0im
-7.037167544041137 + 0.0im	-0.00036936360762816544 + 0.0im
-7.021459580773188 + 0.0im	-0.00037206253479754267 + 0.0im
-7.005751617505239 + 0.0im	-0.00037478842698643485 + 0.0im
-6.99004365423729 + 0.0im	-0.00037754162979807796 + 0.0im
-6.97433569096934 + 0.0im	-0.0003803224942943844 + 0.0im
-6.9586277277013915 + 0.0im	-0.00038313137709930636 + 0.0im
-6.942919764433443 + 0.0im	-0.0003859686405044914 + 0.0im
-6.927211801165494 + 0.0im	-0.0003888346525772947 + 0.0im
-6.911503837897545 + 0.0im	-0.0003917297872712498 + 0.0im
-6.895795874629596 + 0.0im	-0.0003946544245389577 + 0.0im
-6.880087911361647 + 0.0im	-0.00039760895044758026 + 0.0im
-6.864379948093698 + 0.0im	-0.000400593757296935 + 0.0im
-6.848671984825749 + 0.0im	-0.0004036092437402578 + 0.0im
-6.8329640215578 + 0.0im	-0.0004066558149077085 + 0.0im
-6.817256058289851 + 0.0im	-0.00040973388253277084 + 0.0im
-6.801548095021902 + 0.0im	-0.0004128438650814089 + 0.0im
-6.785840131753953 + 0.0im	-0.00041598618788442685 + 0.0im
-6.770132168486004 + 0.0im	-0.0004191612832726718 + 0.0im
-6.754424205218055 + 0.0im	-0.00042236959071545465 + 0.0im
-6.738716241950106 + 0.0im	-0.0004256115569622285 + 0.0im
-6.7230082786821574 + 0.0im	-0.00042888763618758203 + 0.0im
-6.707300315414209 + 0.0im	-0.0004321982901395545 + 0.0im
-6.69159235214626 + 0.0im	-0.0004355439882915247 + 0.0im
-6.675884388878311 + 0.0im	-0.00043892520799765063 + 0.0im
-6.660176425610361 + 0.0im	-0.00044234243465202246 + 0.0im
-6.644468462342412 + 0.0im	-0.0004457961618515899 + 0.0im
-6.628760499074463 + 0.0im	-0.0004492868915629595 + 0.0im
-6.613052535806514 + 0.0im	-0.00045281513429329916 + 0.0im
-6.5973445725385655 + 0.0im	-0.0004563814092651488 + 0.0im
-6.581636609270617 + 0.0im	-0.00045998624459577496 + 0.0im
-6.565928646002668 + 0.0im	-0.0004636301774805362 + 0.0im
-6.550220682734719 + 0.0im	-0.0004673137543809678 + 0.0im
-6.53451271946677 + 0.0im	-0.00047103753121736035 + 0.0im
-6.51880475619882 + 0.0im	-0.00047480207356609167 + 0.0im
-6.503096792930871 + 0.0im	-0.0004786079568618106 + 0.0im
-6.4873888296629225 + 0.0im	-0.0004824557666046276 + 0.0im
-6.471680866394974 + 0.0im	-0.00048634609857252164 + 0.0im
-6.455972903127025 + 0.0im	-0.0004902795590389043 + 0.0im
-6.440264939859076 + 0.0im	-0.0004942567649958045 + 0.0im
-6.424556976591127 + 0.0im	-0.0004982783443825653 + 0.0im
