-7.869689597242432 + 0.0im	6.272496400596025e-6 + 0.0im
-7.853981633974483 + 0.0im	6.294840631472464e-6 + 0.0im
-7.838273670706534 + 0.0im	6.317305263796226e-6 + 0.0im
-7.822565707438585 + 0.0im	6.339891170032442e-6 + 0.0im
-7.806857744170636 + 0.0im	6.362599230618303e-6 + 0.0im
-7.791149780902687 + 0.0im	6.385430334050044e-6 + 0.0im
-7.7754418176347375 + 0.0im	6.4083853769733084e-6 + 0.0im
-7.759733854366789 + 0.0im	6.431465264272887e-6 + 0.0im
-7.74402589109884 + 0.0im	6.454670909165461e-6 + 0.0im
-7.728317927830891 + 0.0im	6.4780032332908735e-6 + 0.0im
-7.712609964562942 + 0.0im	6.501463166807891e-6 + 0.0im
-7.696902001294993 + 0.0im	6.52505164848829e-6 + 0.0im
-7.681194038027044 + 0.0im	6.548769625813853e-6 + 0.0im
-7.665486074759095 + 0.0im	6.5726180550746434e-6 + 0.0im
-7.6497781114911465 + 0.0im	6.5965979014674525e-6 + 0.0im
-7.634070148223198 + 0.0im	6.620710139196689e-6 + 0.0im
-7.618362184955249 + 0.0im	6.64495575157609e-6 + 0.0im
-7.602654221687299 + 0.0im	6.669335731131788e-6 + 0.0im
-7.58694625841935 + 0.0im	6.6938510797072264e-6 + 0.0im
-7.571238295151401 + 0.0im	6.718502808568081e-6 + 0.0im
-7.555530331883452 + 0.0im	6.743291938511056e-6 + 0.0im
-7.5398223686155035 + 0.0im	6.768219499971567e-6 + 0.0im
-7.524114405347555 + 0.0im	6.793286533134113e-6 + 0.0im
-7.508406442079606 + 0.0im	6.818494088044945e-6 + 0.0im
-7.492698478811657 + 0.0im	6.843843224723602e-6 + 0.0im
-7.476990515543708 + 0.0im	6.86933501327946e-6 + 0.0im
-7.461282552275758 + 0.0im	6.8949705340268654e-6 + 0.0im
-7.445574589007809 + 0.0im	6.920750877603553e-6 + 0.0im
-7.4298666257398605 + 0.0im	6.946677145089796e-6 + 0.0im
-7.414158662471912 + 0.0im	6.972750448130706e-6 + 0.0im
-7.398450699203963 + 0.0im	6.998971909056694e-6 + 0.0im
-7.382742735936014 + 0.0im	7.025342661010489e-6 + 0.0im
-7.367034772668065 + 0.0im	7.051863848071797e-6 + 0.0im
-7.351326809400116 + 0.0im	7.0785366253856315e-6 + 0.0im
-7.335618846132167 + 0.0im	7.105362159292405e-6 + 0.0im
-7.319910882864218 + 0.0im	7.132341627458182e-6 + 0.0im
-7.304202919596269 + 0.0im	7.1594762190095825e-6 + 0.0im
-7.28849495632832 + 0.0im	7.186767134667606e-6 + 0.0im
-7.272786993060371 + 0.0im	7.214215586885563e-6 + 0.0im
-7.257079029792422 + 0.0im	7.241822799987317e-6 + 0.0im
-7.241371066524473 + 0.0im	7.26959001030884e-6 + 0.0im
-7.225663103256524 + 0.0im	7.297518466340354e-6 + 0.0im
-7.209955139988575 + 0.0im	7.325609428871142e-6 + 0.0im
-7.194247176720626 + 0.0im	7.353864171137815e-6 + 0.0im
-7.1785392134526775 + 0.0im	7.382283978971323e-6 + 0.0im
-7.162831250184729 + 0.0im	7.410870150949112e-6 + 0.0im
-7.147123286916779 + 0.0im	7.4396239985481285e-6 + 0.0im
-7.13141532364883 + 0.0im	7.468546846300041e-6 + 0.0im
-7.115707360380881 + 0.0im	7.497640031949138e-6 + 0.0im
-7.099999397112932 + 0.0im	7.5269049066113415e-6 + 0.0im
-7.084291433844983 + 0.0im	7.556342834937216e-6 + 0.0im
-7.0685834705770345 + 0.0im	7.585955195275607e-6 + 0.0im
-7.052875507309086 + 0.0im	7.615743379841267e-6 + 0.0im
-7.037167544041137 + 0.0im	7.645708794882371e-6 + 0.0im
-7.021459580773188 + 0.0im	7.675852860854395e-6 + 0.0im
-7.005751617505239 + 0.0im	7.706177012591885e-6 + 0.0im
-6.99004365423729 + 0.0im	7.736682699486734e-6 + 0.0im
-6.97433569096934 + 0.0im	7.767371385666329e-6 + 0.0im
-6.9586277277013915 + 0.0im	7.79824455017535e-6 + 0.0im
-6.942919764433443 + 0.0im	7.829303687160489e-6 + 0.0im
-6.927211801165494 + 0.0im	7.860550306057348e-6 + 0.0im
-6.911503837897545 + 0.0im	7.89198593178032e-6 + 0.0im
-6.895795874629596 + 0.0im	7.923612104914491e-6 + 0.0im
-6.880087911361647 + 0.0im	7.955430381911866e-6 + 0.0im
-6.864379948093698 + 0.0im	7.987442335289465e-6 + 0.0im
-6.848671984825749 + 0.0im	8.01964955382976e-6 + 0.0im
-6.8329640215578 + 0.0im	8.052053642786023e-6 + 0.0im
-6.817256058289851 + 0.0im	8.084656224088225e-6 + 0.0im
-6.801548095021902 + 0.0im	8.117458936554546e-6 + 0.0im
-6.785840131753953 + 0.0im	8.150463436103717e-6 + 0.0im
-6.770132168486004 + 0.0im	8.183671395971352e-6 + 0.0im
-6.754424205218055 + 0.0im	8.217084506931835e-6 + 0.0im
-6.738716241950106 + 0.0im	8.250704477518444e-6 + 0.0im
-6.7230082786821574 + 0.0im	8.284533034252198e-6 + 0.0im
-6.707300315414209 + 0.0im	8.318571921870242e-6 + 0.0im
-6.69159235214626 + 0.0im	8.352822903559863e-6 + 0.0im
-6.675884388878311 + 0.0im	8.38728776119493e-6 + 0.0im
-6.660176425610361 + 0.0im	8.421968295576654e-6 + 0.0im
-6.644468462342412 + 0.0im	8.456866326676793e-6 + 0.0im
-6.628760499074463 + 0.0im	8.491983693887587e-6 + 0.0im
-6.613052535806514 + 0.0im	8.527322256270969e-6 + 0.0im
-6.5973445725385655 + 0.0im	8.56288389281452e-6 + 0.0im
-6.581636609270617 + 0.0im	8.598670502691991e-6 + 0.0im
-6.565928646002668 + 0.0im	8.634684005524381e-6 + 0.0im
-6.550220682734719 + 0.0im	8.67092634165062e-6 + 0.0im
-6.53451271946677 + 0.0im	8.707399472395568e-6 + 0.0im
-6.51880475619882 + 0.0im	8.744105380348603e-6 + 0.0im
-6.503096792930871 + 0.0im	8.781046069640593e-6 + 0.0im
-6.4873888296629225 + 0.0im	8.818223566231497e-6 + 0.0im
-6.471680866394974 + 0.0im	8.855639918196331e-6 + 0.0im
-6.455972903127025 + 0.0im	8.893297196020993e-6 + 0.0im
-6.440264939859076 + 0.0im	8.93119749289746e-6 + 0.0im
-6.424556976591127 + 0.0im	8.969342925028689e-6 + 0.0im
-6.408849013323178 + 0.0im	9.007735631933876e-6 + 0.0im
-6.393141050055229 + 0.0im	9.046377776762366e-6 + 0.0im
-6.37743308678728 + 0.0im	9.085271546610036e-6 + 0.0im
-6.3617251235193315 + 0.0im	9.1244191528415e-6 + 0.0im
-6.346017160251382 + 0.0im	9.163822831416545e-6 + 0.0im
-6.330309196983433 + 0.0im	9.203484843223183e-6 + 0.0im
-6.314601233715484 + 0.0im	9.243407474417503e-6 + 0.0im
-6.298893270447535 + 0.0im	9.283593036761833e-6 + 0.0im
-6.283185307179586 + 0.0im	9.324043867979027e-6 + 0.0im
-6.267477343911637 + 0.0im	9.364762332103026e-6 + 0.0im
-6.2517693806436885 + 0.0im	9.405750819839536e-6 + 0.0im
-6.23606141737574 + 0.0im	9.44701174893374e-6 + 0.0im
-6.220353454107791 + 0.0im	9.488547564539715e-6 + 0.0im
-6.204645490839841 + 0.0im	9.53036073959893e-6 + 0.0im
-6.188937527571892 + 0.0im	9.5724537752255e-6 + 0.0im
