-7.979645340118075 + 0.0im	0.00032675520027923376 + 0.0im
-7.963937376850126 + 0.0im	0.0003279534394928165 + 0.0im
-7.948229413582177 + 0.0im	0.0003291583710016 + 0.0im
-7.932521450314228 + 0.0im	0.00033037004546205743 + 0.0im
-7.916813487046278 + 0.0im	0.0003315885140184319 + 0.0im
-7.901105523778329 + 0.0im	0.00033281382830838027 + 0.0im
-7.8853975605103805 + 0.0im	0.00033404604046884925 + 0.0im
-7.869689597242432 + 0.0im	0.0003352852031419832 + 0.0im
-7.853981633974483 + 0.0im	0.00033653136948104287 + 0.0im
-7.838273670706534 + 0.0im	0.00033778459315658623 + 0.0im
-7.822565707438585 + 0.0im	0.00033904492836251657 + 0.0im
-7.806857744170636 + 0.0im	0.0003403124298223925 + 0.0im
-7.791149780902687 + 0.0im	0.00034158715279569485 + 0.0im
-7.7754418176347375 + 0.0im	0.0003428691530843579 + 0.0im
-7.759733854366789 + 0.0im	0.0003441584870391574 + 0.0im
-7.74402589109884 + 0.0im	0.00034545521156637807 + 0.0im
-7.728317927830891 + 0.0im	0.00034675938413453395 + 0.0im
-7.712609964562942 + 0.0im	0.0003480710627811057 + 0.0im
-7.696902001294993 + 0.0im	0.0003493903061194816 + 0.0im
-7.681194038027044 + 0.0im	0.0003507171733459431 + 0.0im
-7.665486074759095 + 0.0im	0.00035205172424672854 + 0.0im
-7.6497781114911465 + 0.0im	0.00035339401920530253 + 0.0im
-7.634070148223198 + 0.0im	0.0003547441192095745 + 0.0im
-7.618362184955249 + 0.0im	0.0003561020858593506 + 0.0im
-7.602654221687299 + 0.0im	0.00035746798137385386 + 0.0im
-7.58694625841935 + 0.0im	0.000358841868599355 + 0.0im
-7.571238295151401 + 0.0im	0.0003602238110168816 + 0.0im
-7.555530331883452 + 0.0im	0.0003616138727500931 + 0.0im
-7.5398223686155035 + 0.0im	0.00036301211857326765 + 0.0im
-7.524114405347555 + 0.0im	0.00036441861391932866 + 0.0im
-7.508406442079606 + 0.0im	0.00036583342488812114 + 0.0im
-7.492698478811657 + 0.0im	0.000367256618254717 + 0.0im
-7.476990515543708 + 0.0im	0.0003686882614778569 + 0.0im
-7.461282552275758 + 0.0im	0.00037012842270849 + 0.0im
-7.445574589007809 + 0.0im	0.0003715771707985796 + 0.0im
-7.4298666257398605 + 0.0im	0.00037303457530988 + 0.0im
-7.414158662471912 + 0.0im	0.00037450070652288853 + 0.0im
-7.398450699203963 + 0.0im	0.00037597563544597244 + 0.0im
-7.382742735936014 + 0.0im	0.00037745943382465374 + 0.0im
-7.367034772668065 + 0.0im	0.0003789521741509448 + 0.0im
-7.351326809400116 + 0.0im	0.0003804539296728614 + 0.0im
-7.335618846132167 + 0.0im	0.00038196477440413353 + 0.0im
-7.319910882864218 + 0.0im	0.00038348478313404006 + 0.0im
-7.304202919596269 + 0.0im	0.00038501403143731514 + 0.0im
-7.28849495632832 + 0.0im	0.00038655259568433245 + 0.0im
-7.272786993060371 + 0.0im	0.0003881005530513227 + 0.0im
-7.257079029792422 + 0.0im	0.0003896579815309074 + 0.0im
-7.241371066524473 + 0.0im	0.0003912249599425658 + 0.0im
-7.225663103256524 + 0.0im	0.0003928015679435302 + 0.0im
-7.209955139988575 + 0.0im	0.0003943878860396234 + 0.0im
-7.194247176720626 + 0.0im	0.0003959839955964226 + 0.0im
-7.1785392134526775 + 0.0im	0.00039758997885047925 + 0.0im
-7.162831250184729 + 0.0im	0.00039920591892079896 + 0.0im
-7.147123286916779 + 0.0im	0.00040083189982050656 + 0.0im
-7.13141532364883 + 0.0im	0.0004024680064685709 + 0.0im
-7.115707360380881 + 0.0im	0.0004041143247019342 + 0.0im
-7.099999397112932 + 0.0im	0.00040577094128758283 + 0.0im
-7.084291433844983 + 0.0im	0.00040743794393498597 + 0.0im
-7.0685834705770345 + 0.0im	0.00040911542130870834 + 0.0im
-7.052875507309086 + 0.0im	0.0004108034630411405 + 0.0im
-7.037167544041137 + 0.0im	0.0004125021597455315 + 0.0im
-7.021459580773188 + 0.0im	0.00041421160302913346 + 0.0im
-7.005751617505239 + 0.0im	0.0004159318855066864 + 0.0im
-6.99004365423729 + 0.0im	0.00041766310081398496 + 0.0im
-6.97433569096934 + 0.0im	0.0004194053436217474 + 0.0im
-6.9586277277013915 + 0.0im	0.00042115870964969495 + 0.0im
-6.942919764433443 + 0.0im	0.0004229232956808202 + 0.0im
-6.927211801165494 + 0.0im	0.0004246991995760176 + 0.0im
-6.911503837897545 + 0.0im	0.00042648652028872276 + 0.0im
-6.895795874629596 + 0.0im	0.0004282853578800313 + 0.0im
-6.880087911361647 + 0.0im	0.00043009581353394303 + 0.0im
-6.864379948093698 + 0.0im	0.00043191798957280215 + 0.0im
-6.848671984825749 + 0.0im	0.00043375198947320163 + 0.0im
-6.8329640215578 + 0.0im	0.00043559791788191785 + 0.0im
-6.817256058289851 + 0.0im	0.0004374558806322329 + 0.0im
-6.801548095021902 + 0.0im	0.00043932598476058467 + 0.0im
-6.785840131753953 + 0.0im	0.0004412083385232631 + 0.0im
-6.770132168486004 + 0.0im	0.000443103051413722 + 0.0im
-6.754424205218055 + 0.0im	0.00044501023417988124 + 0.0im
-6.738716241950106 + 0.0im	0.00044692999884193445 + 0.0im
-6.7230082786821574 + 0.0im	0.00044886245871025886 + 0.0im
-6.707300315414209 + 0.0im	0.0004508077284038597 + 0.0im
-6.69159235214626 + 0.0im	0.0004527659238689751 + 0.0im
-6.675884388878311 + 0.0im	0.0004547371623979348 + 0.0im
-6.660176425610361 + 0.0im	0.00045672156264861655 + 0.0im
-6.644468462342412 + 0.0im	0.0004587192446638842 + 0.0im
-6.628760499074463 + 0.0im	0.0004607303298917491 + 0.0im
-6.613052535806514 + 0.0im	0.00046275494120546487 + 0.0im
-6.5973445725385655 + 0.0im	0.00046479320292428704 + 0.0im
-6.581636609270617 + 0.0im	0.0004668452408344372 + 0.0im
-6.565928646002668 + 0.0im	0.00046891118221059646 + 0.0im
-6.550220682734719 + 0.0im	0.00047099115583749783 + 0.0im
-6.53451271946677 + 0.0im	0.0004730852920322029 + 0.0im
-6.51880475619882 + 0.0im	0.00047519372266651187 + 0.0im
-6.503096792930871 + 0.0im	0.0004773165811899614 + 0.0im
-6.4873888296629225 + 0.0im	0.00047945400265316613 + 0.0im
-6.471680866394974 + 0.0im	0.0004816061237315687 + 0.0im
-6.455972903127025 + 0.0im	0.00048377308274953905 + 0.0im
-6.440264939859076 + 0.0im	0.0004859550197050273 + 0.0im
-6.424556976591127 + 0.0im	0.0004881520762947065 + 0.0im
-6.408849013323178 + 0.0im	0.0004903643959392806 + 0.0im
-6.393141050055229 + 0.0im	0.0004925921238096533 + 0.0im
-6.37743308678728 + 0.0im	0.0004948354068531553 + 0.0im
-6.3617251235193315 + 0.0im	0.00049709439382067 + 0.0im
-6.346017160251382 + 0.0im	0.0004993692352938381 + 0.0im
-6.330309196983433 + 0.0im	0.0005016600837131806 + 0.0im
-6.314601233715484 + 0.0im	0.000503967093406314 + 0.0im
-6.298893270447535 + 0.0im	0.0005062904206170348 + 0.0im
-6.283185307179586 + 0.0im	0.0005086302235347333 + 0.0im
-6.267477343911637 + 0.0im	0.0005109866623244728 + 0.0im
-6.2517693806436885 + 0.0im	0.000513359899157614 + 0.0im
-6.23606141737574 + 0.0im	0.0005157500982428295 + 0.0im
-6.220353454107791 + 0.0im	0.0005181574258579986 + 0.0im
-6.204645490839841 + 0.0im	0.0005205820503824927 + 0.0im
-6.188937527571892 + 0.0im	0.0005230241423301764 + 0.0im
-6.173229564303943 + 0.0im	0.0005254838743829329 + 0.0im
-6.157521601035994 + 0.0im	0.0005279614214249054 + 0.0im
-6.1418136377680455 + 0.0im	0.0005304569605774249 + 0.0im
-6.126105674500097 + 0.0im	0.0005329706712344278 + 0.0im
-6.110397711232148 + 0.0im	0.0005355027350988615 + 0.0im
-6.094689747964199 + 0.0im	0.0005380533362194673 + 0.0im
-6.07898178469625 + 0.0im	0.000540622661028472 + 0.0im
-6.063273821428301 + 0.0im	0.0005432108983799563 + 0.0im
-6.047565858160352 + 0.0im	0.0005458182395890353 + 0.0im
-6.031857894892402 + 0.0im	0.000548444878471607 + 0.0im
-6.0161499316244536 + 0.0im	0.0005510910113851755 + 0.0im
-6.000441968356505 + 0.0im	0.000553756837270238 + 0.0im
-5.984734005088556 + 0.0im	0.0005564425576926004 + 0.0im
-5.969026041820607 + 0.0im	0.0005591483768865789 + 0.0im
-5.953318078552658 + 0.0im	0.000561874501798814 + 0.0im
-5.937610115284709 + 0.0im	0.0005646211421333629 + 0.0im
-5.92190215201676 + 0.0im	0.0005673885103973475 + 0.0im
