-6.126105674500097 + 0.0im	0.0004796634156737488 + 0.0im
-6.110397711232148 + 0.0im	0.00048178289973837646 + 0.0im
-6.094689747964199 + 0.0im	0.0004839165791307062 + 0.0im
-6.07898178469625 + 0.0im	0.0004860645819553117 + 0.0im
-6.063273821428301 + 0.0im	0.00048822703777711633 + 0.0im
-6.047565858160352 + 0.0im	0.0004904040776415812 + 0.0im
-6.031857894892402 + 0.0im	0.00049259583409524 + 0.0im
-6.0161499316244536 + 0.0im	0.0004948024412065184 + 0.0im
-6.000441968356505 + 0.0im	0.0004970240345869529 + 0.0im
-5.984734005088556 + 0.0im	0.0004992607514127106 + 0.0im
-5.969026041820607 + 0.0im	0.0005015127304465046 + 0.0im
-5.953318078552658 + 0.0im	0.0005037801120598257 + 0.0im
-5.937610115284709 + 0.0im	0.0005060630382555833 + 0.0im
-5.92190215201676 + 0.0im	0.0005083616526910975 + 0.0im
