-8.450884238156544 + 0.0im	-9.811274460986807e-5 + 0.0im
-8.435176274888594 + 0.0im	-9.869331321902195e-5 + 0.0im
-8.419468311620646 + 0.0im	-9.927853870624546e-5 + 0.0im
-8.403760348352696 + 0.0im	-9.986846854816327e-5 + 0.0im
-8.388052385084748 + 0.0im	-0.00010046315081201642 + 0.0im
-8.372344421816798 + 0.0im	-0.00010106263416437851 + 0.0im
-8.35663645854885 + 0.0im	-0.00010166696788001948 + 0.0im
-8.3409284952809 + 0.0im	-0.00010227620185092609 + 0.0im
-8.325220532012953 + 0.0im	-0.00010289038659547398 + 0.0im
-8.309512568745003 + 0.0im	-0.00010350957326776083 + 0.0im
-8.293804605477053 + 0.0im	-0.00010413381366709782 + 0.0im
-8.278096642209105 + 0.0im	-0.0001047631602476711 + 0.0im
-8.262388678941155 + 0.0im	-0.00010539766612836652 + 0.0im
-8.246680715673207 + 0.0im	-0.000106037385102768 + 0.0im
-8.230972752405258 + 0.0im	-0.00010668237164932852 + 0.0im
-8.21526478913731 + 0.0im	-0.00010733268094172573 + 0.0im
-8.19955682586936 + 0.0im	-0.0001079883688593886 + 0.0im
-8.183848862601412 + 0.0im	-0.00010864949199822197 + 0.0im
-8.168140899333462 + 0.0im	-0.00010931610768151115 + 0.0im
-8.152432936065512 + 0.0im	-0.00010998827397102439 + 0.0im
-8.136724972797564 + 0.0im	-0.0001106660496783094 + 0.0im
-8.121017009529615 + 0.0im	-0.00011134949437619496 + 0.0im
-8.105309046261667 + 0.0im	-0.00011203866841049163 + 0.0im
-8.089601082993717 + 0.0im	-0.00011273363291191125 + 0.0im
-8.073893119725769 + 0.0im	-0.0001134344498081877 + 0.0im
-8.058185156457819 + 0.0im	-0.00011414118183642723 + 0.0im
-8.042477193189871 + 0.0im	-0.00011485389255567406 + 0.0im
-8.026769229921921 + 0.0im	-0.0001155726463597069 + 0.0im
-8.011061266653972 + 0.0im	-0.0001162975084900637 + 0.0im
-7.995353303386024 + 0.0im	-0.00011702854504930729 + 0.0im
-7.979645340118075 + 0.0im	-0.00011776582301452869 + 0.0im
-7.963937376850126 + 0.0im	-0.00011850941025110034 + 0.0im
-7.948229413582177 + 0.0im	-0.00011925937552667892 + 0.0im
-7.932521450314228 + 0.0im	-0.00012001578852546581 + 0.0im
-7.916813487046278 + 0.0im	-0.00012077871986272789 + 0.0im
-7.901105523778329 + 0.0im	-0.00012154824109959311 + 0.0im
-7.8853975605103805 + 0.0im	-0.0001223244247581103 + 0.0im
-7.869689597242432 + 0.0im	-0.00012310734433659668 + 0.0im
-7.853981633974483 + 0.0im	-0.0001238970743252637 + 0.0im
-7.838273670706534 + 0.0im	-0.00012469369022214083 + 0.0im
